codigo,descripcion,valor,tipo
40120,PARTO NORMAL (A PARTIR DE LA CONFIRMACIÓN DEL DIAGNÓSTICO),839740,conjunto_integral
40121,PARTO NORMAL (A PARTIR DEL OCTAVO MES ),617790,conjunto_integral
40769,CIRUGIA ANTIRREFLUJO GASTROESOEFAGICO CON RECONSTRUCCIÓN DEL ESFINTER ESOFÁGICO INFERIOR POR VIA ABDOMINAL,40436,conjunto_integral
40436,CIRUGIA ANTIRREFLUJO GASTROESOFAGICO CON RECONSTRUCCIÓN DEL ESFINTER ESOFÁGICO POR VIA INFERIOR TRANSTORACICA,40434,conjunto_integral
40685,"CIRUGIA RECONSTRUCTIVA MULTIPLE: OSTEOTOMIAS Y/O FIJACION INTERNA[DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS] EN FEMUR, TIBIA Y PERONE; TRANSFERENCIAS MUSCULOTENDINOSAS; TENOTOMIASY/O ALARGAMIENTOS TENDINOSOS EN MUSLO, PIERNA Y PIE TRIPLE ARTRODESIS EN PIE",40686,conjunto_integral
40686,"CIRUGIA RECONSTRUCTIVA MULTIPLE: OSTEOTOMIAS Y/O FIJACION INTERNA[DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS] EN FEMUR, TIBIA Y PERONE; TRANSFERENCIAS MUSCULOTENDINOSAS; TENOTOMIASY/O ALARGAMIENTOS TENDINOSOS EN MUSLO, PIERNA Y PIE TRIPLE ARTRODESIS EN PIE",40450,conjunto_integral
40770,TRABECULECTOMÍA SECUNDARIA (CON CIRUGIA OCULAR PREVIA),850840,conjunto_integral
40532,SECCIÓN Y/O LIGADURA DE TROMPAS DE FALOPIO [CIRUGIA DE POMEROY] POR MINILAPAROTOMIA SOD,662200,conjunto_integral
40538,LEGRADO UTERINO POST-PARTO O POST ABORTO (89),337560,conjunto_integral
40552,"REINTERVENCION POR SANGRADO, DESPUES DE CIRUGIA CARDIACA",40563,conjunto_integral
40537,PARTO VAGINAL (NORMAL O INTERVENIDO CON FÓRCEPS O ESPÁTULAS) (27) (399),470220,conjunto_integral
40540,PARTO VAGINAL DE BAJO RIESGO (27) (405),323175,conjunto_integral
11621,PARTO INTERVENIDO CON MANIOBRA DE VERSION FETAL INTERNA Y COMBINADA CON EXTRACION,12101,conjunto_integral
11643,PARTO INTERVENIDO CON MANIOBRA DE VERSION FETAL INTERNA Y COMBINADA CON EXTRACION,12101,conjunto_integral
12101,PARTO INTERVENIDO CON MANIOBRA DE VERSION FETAL INTERNA Y COMBINADA CON EXTRACION,12101,conjunto_integral
12101,ASISTENCIA DEL PARTO NORMAL CON EPISIORRAFIA Y/O PERINEORRAFIA SOD,12101,conjunto_integral
12101,ASISTENCIA DEL PARTO ESPONTÁNEO NORMAL (EXPULSIVO),12101,conjunto_integral
12101,ASISTENCIA DEL PARTO ESPONTÁNEO GEMELAR O MULTIPLE,12103,conjunto_integral
12103,"REMOCIÓN MANUAL DE PLACENTA RETENIDA Y/O REVISION UTERINA, SIN ATENCIÓN DEL PARTO",12112,conjunto_integral
12112,LEGRADO UTERINO OBSTETRICO POSTPARTO O POSTABORTO POR DILATACION Y CURETAJE,12112,conjunto_integral
12112,LEGRADO UTERINO OBSTETRICO POSTPARTO O POSTABORTO POR ASPIRACIÓN AL VACIO,12118,conjunto_integral
