ref,codigo,descripcion,valor,tipo
1933210,905702,"ACETAMINOFEN, SEMICUANTITATIVA POR INMUNOENSAYO",12480,diagnostico
905702,906401,"ACETILCOLINA RECEPTORES, ANTICUERPOS BLOQUEADORES",42305,diagnostico
906401,903103,ACIDO 5 HIDROXI INDOLACÉTICO EN ORINA DE 24 H,10250,diagnostico
903103,903104,ACIDO DELTA AMINOLEVULÍNICO [ALA] EN ORINA DE 24 H,18505,diagnostico
903104,903105,ACIDO FÓLICO [FOLATOS] EN SUERO,23185,diagnostico
903105,903106,ACIDO FÓLICO EN ERITROCITOS,68385,diagnostico
903106,903107,ACIDO FÓRMICO EN ORINA,7195,diagnostico
903107,903109,ACIDO HOMOVALÍNICO EN ORINA DE 24 H,33035,diagnostico
903109,903110,ACIDO LÁCTICO [L-LACTATO] POR FLUOROMETRÍA,32680,diagnostico
903110,903111,ACIDO LÁCTICO [L-LACTATO] POR MÉTODO ENZIMÁTICO,18875,diagnostico
903111,908002,ACIDO ORÓTICO,19980,diagnostico
908002,903112,ACIDO PIRÚVICO [PIRUVATO],26160,diagnostico
903112,906601,ACIDO SIÁLICO,13680,diagnostico
906601,E19014,ACIDO SUCCÍNICO,7710,diagnostico
1912090,903801,ACIDO ÚRICO,3315,diagnostico
903801,903802,ACIDO ÚRICO EN ORINA DE 24 H,3345,diagnostico
903802,905201,ACIDO VALPROICO,22105,diagnostico
905201,905202,ACIDO VALPROICO LIBRE,19100,diagnostico
905202,903113,ACIDO VANILMANDÉLICO [VMA] EN ORINA DE 24 H,13240,diagnostico
903113,M19003,ACIDOS BILIARES,17515,diagnostico
903101,908701,"ACIDOS GRASOS DE CADENA MUY LARGA, CUANTITATIVO",153685,diagnostico
908701,908001,ACIDOS ORGÁNICOS [CADENA CORTA] POR CROMATOGRAFÍA DE GASES,51020,diagnostico
908001,901201,"Actinomyces, CULTIVO HONGOS",30720,diagnostico
901201,906101,"Actynomices, ANTICUERPOS",30720,diagnostico
906101,903401,ADENOSÍN DEAMINASA [ADA],5105,diagnostico
903401,906203,"Adenovirus, ANTICUERPOS Ig M POR EIA",20835,diagnostico
906203,906901,AGLUTININAS AL FRIO,4635,diagnostico
906901,902002,"AGREGACIÓN PLAQUETARIA, CADA AGENTE",7810,diagnostico
902002,M19320,"AGREGACIÓN PLAQUETARIA, CURVA",56135,diagnostico
902003,903803,ALBÚMINA,2980,diagnostico
903803,903804,ALBÚMINA EN ORINA DE 24 H,3005,diagnostico
903804,905704,"ALCALOIDES, SEMICUANTITATIVO POR CROMATOGRAFÍA DE CAPA FINA",14425,diagnostico
905704,905706,ALCOHOL ETÍLICO EN CUALQUIER MUESTRA POR INMUNOENSAYO,12260,diagnostico
905706,905707,ALCOHOL METÍLICO - FORMALDEHIDO EN CUALQUIER MUESTRA POR COLORIMETRÍA,12260,diagnostico
905707,903402,ALDOLASA,6885,diagnostico
903402,904801,ALDOSTERONA,27440,diagnostico
904801,904802,ALDOSTERONA EN ORINA,27440,diagnostico
904802,903403,ALFA 1 ANTIQUIMIOTRIPSINA POR IDR,22770,diagnostico
903403,903404,ALFA 1 ANTIQUIMIOTRIPSINA POR NEFELOMETRÍA,32680,diagnostico
903404,903405,ALFA 1 ANTITRIPSINA POR IDR,8155,diagnostico
903405,903406,ALFA 1 ANTITRIPSINA POR NEFELOMETRÍA,32680,diagnostico
903406,903407,ALFA 1 GLICOPROTEÍNA ÁCIDA U OROMUCOIDE,24645,diagnostico
903407,M19051,E19051,9030,diagnostico
1932180,903001,ALFA 2 MACROGLOBULINA,7320,diagnostico
903001,903002,ALFA FETOPROTEÍNA [AFP] EN LÍQUIDO AMNIÓTICO,31585,diagnostico
903002,906602,ALFA FETOPROTEÍNA [AFP] SERICA,42605,diagnostico
906602,905403,"AMIKACINA, SEMICUANTITATIVA POR INMUNOENSAYO",7810,diagnostico
905403,903805,AMILASA,6195,diagnostico
903805,903806,AMILASA EN ORINA DE 24 H,5945,diagnostico
903806,908103,AMINOACIDOS POR CLORURO FÉRRICO,5440,diagnostico
908103,908104,AMINOACIDOS POR DINITROFENILHIDRACINA,5525,diagnostico
908104,908105,AMINOACIDOS POR NITROPRUSIATO,5525,diagnostico
908105,908106,AMINOACIDOS POR NITROSONAFTOL,5440,diagnostico
908106,908101,"AMINOACIDOS, CUALITATIVOS POR CROMATOGRAFÍA EN ORINA",19670,diagnostico
908101,908102,"AMINOACIDOS, CUALITATIVOS POR CROMATOGRAFÍA EN SANGRE",19670,diagnostico
908102,903602,AMONIO,9230,diagnostico
903602,A32402,ANALISIS BACTERIOLOGICO (MICROBIOLOGICO) DEL AGUA PARA CONSUMO HUMANO,15625,diagnostico
1922096,A32401,ANALISIS FISICO-QUIMICO (ORGANOLEPTICO) DEL AGUA PARA CONSUMO HUMANO,10120,diagnostico
1933710,904803,"ANDROSTENEDIOL GLUCURÓNIDO, 3 ALFA",36580,diagnostico
904803,904501,ANDROSTENEDIONA,23785,diagnostico
904501,M19073,ANDROSTERONA EN ORINA,30355,diagnostico
904502,905302,"ANFETAMINAS Y METANFETAMINAS, SEMICUANTITATIVA POR INMUNOENSAYO",18830,diagnostico
905302,904001,ANGIOTENSINA II,37565,diagnostico
904001,901001,ANTIBIOGRAMA (DISCO),9995,diagnostico
901001,901002,ANTIBIOGRAMA (MIC) MÉTODO AUTOMÁTICO,16410,diagnostico
901002,901003,ANTIBIOGRAMA (MIC) MÉTODO MANUAL,16410,diagnostico
901003,902004,ANTICOAGULANTE CIRCULANTE [LÚPICO],18665,diagnostico
902004,902005,"ANTICOAGULANTE LÚPICO, PRUEBA CONFIRMATORIA CON VENENO DE VIBORA DE RUSSEL",66260,diagnostico
902005,906903,ANTICUERPOS HETERÓFILOS [ESPECÍFICOS Y TOTALES],5865,diagnostico
906903,911004,"ANTICUERPOS IRREGULARES, DETECCIÓN [RASTREO O RAI] EN TUBO",33130,diagnostico
911004,911005,"ANTICUERPOS IRREGULARES, IDENTIFICACIÓN [D, KELL, DUFFY, KIDD Y OTROS] POR MICROTÉCNICA",33130,diagnostico
911005,906406,ANTICUERPOS NUCLEARES EXTRACTABLES TOTALES [ENA] SS-A [Ro] SS-B [La] RNP Y Sm,56330,diagnostico
906406,905304,"ANTIDEPRESIVOS TRICÍCLICOS, SEMICUANTITATIVO POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",28245,diagnostico
905304,906001,ANTIESTREPTOLISINA “O” CUANTITATIVA POR NEFELOMETRÍA,29625,diagnostico
906001,906002,ANTIESTREPTOLISINA “O” CUANTITATIVA POR TITULACIÓN,5890,diagnostico
906002,906603,ANTÍGENO CARCINOEMBRIONARIO [ACE-CEA],27215,diagnostico
906603,906604,ANTÍGENO DE CÁNCER DE MAMA [CA 15-3],42605,diagnostico
906604,906605,ANTÍGENO DE CÁNCER DE OVARIO [CA 125],42605,diagnostico
906605,906606,ANTÍGENO DE CÁNCER DE TUBO DIGESTIVO [CA 19-9],42605,diagnostico
906606,906610,ANTÍGENO ESPECÍFICO DE PROSTATA [PSA],42605,diagnostico
906610,906611,"ANTÍGENO ESPECÍFICO DE PROSTATA, FRACCIÓN LIBRE",42605,diagnostico
906611,906612,"ANTÍGENO ESPECÍFICO DE PROSTATA, VELOCIDAD DE CAMBIO, 2 MUESTRAS",71940,diagnostico
906612,906613,ANTÍGENO POLIPÉPTIDO DE TEJIDO O ANTÍGENO DE PROLIFERACION CELULAR [TPA- TPS] POR EIA,58855,diagnostico
906613,906303,"ANTÍGENOS BACTERIANOS EN L.C.R, SANGRE U OTRA MUESTRA, PRUEBA DIRECTA [POLIVALENTE PARA MENINGITIS]",44550,diagnostico
906303,906304,ANTÍGENOS FEBRILES [VIDAL O WEIL FELIX],16050,diagnostico
906304,902006,ANTITROMBINA III POR COAGULACIÓN,44500,diagnostico
902006,902007,ANTITROMBINA III POR CROMÓGENOS,44500,diagnostico
902007,902008,ANTITROMBINA III POR IDR,16095,diagnostico
902008,902009,ANTITROMBINA III POR NEFELOMETRÍA,32680,diagnostico
902009,903411,APOLIPOPROTEÍNAS A1 POR NEFELOMETRÍA,17145,diagnostico
903411,903412,APOLIPOPROTEÍNAS B POR NEFELOMETRÍA,17580,diagnostico
903412,906305,"ARBOVIRUS, ANTÍGENO",32230,diagnostico
906305,908702,"ARILSULFATASA A, EN LEUCOCITOS",35385,diagnostico
908702,908703,"ARILSULFATASA A, EN SUERO",23990,diagnostico
908703,905709,ARSÉNICO EN ORINA O SANGRE POR ABSORCIÓN ATÓMICA,10760,diagnostico
905709,906102,"Aspergillus, ANTICUERPOS POR LÁTEX",45585,diagnostico
906102,905711,"ATROPÍNICOS, SEMICUANTITATIVO POR CROMATOGRAFÍA DE CAPA FINA",14425,diagnostico
905711,908201,AZUCARES POR CROMATOGRAFIA,15635,diagnostico
908201,907001,AZUCARES REDUCTORES EN HECES,3415,diagnostico
907001,903808,BALANCE NITROGENADO [ÍNDICE CATABÓLICO],10900,diagnostico
903808,905204,"BARBITÚRICOS, SEMICUANTITATIVO POR INMUNOENSAYO",11620,diagnostico
905204,905306,"BENZODIACEPINAS, SEMICUANTITATIVA POR CROMATOGRAFÍA DE CAPA DELGADA E INMUNOENSAYO",21150,diagnostico
905306,M19163,E19163,13380,diagnostico
1932270,906620,BETA 2 MICROGLOBULINA EN CUALQUIER MUESTRA,28395,diagnostico
906620,908503,"BETA GALACTOCIDASA, EN LEUCOCITOS Y SUERO",36900,diagnostico
908503,908704,"BETA GLUCORONIDASA, EN LEUCOCITOS",36900,diagnostico
908704,901301,"BETA LACTAMASA, PRUEBA DE PENICILINASA",9250,diagnostico
901301,903809,BILIRRUBINAS TOTAL Y DIRECTA,5025,diagnostico
903809,905713,"BIPIRIDILO, SEMICUANTITATIVA POR COLORIMETRIA",12920,diagnostico
905713,906103,"Blastomyces, ANTICUERPOS",45585,diagnostico
906103,906306,"Bordetella pertusis, ANTÍGENO",32695,diagnostico
906306,901202,"Bordetella pertusis, CULTIVO",30720,diagnostico
901202,906008,"Borrelia burgdorferi, ANTICUERPOS Ig G -ENFERMEDAD DE LYME-",27350,diagnostico
906008,906010,"Brucella abortus, ANTICUERPOS Ig G",7375,diagnostico
906010,901203,"Brucella, CULTIVO",30720,diagnostico
901203,906012,"Brucella, PRUEBA DE BANQ EN PLACA",16015,diagnostico
906012,906013,"Brucella, PRUEBA DE BANQ EN TUBO",26515,diagnostico
906013,905715,"CAFEÍNA, SEMICUANTITATIVA POR INMUNOENSAYO Y CROMATOGRAFÍA DE CAPA FINA",13030,diagnostico
905715,903603,CALCIO ABSORCIÓN ATÓMICA,20835,diagnostico
903603,903811,CALCIO EN ORINA DE 24 H POR COLORIMETRÍA,3310,diagnostico
903811,903604,CALCIO IONICO,32695,diagnostico
903604,903810,CALCIO POR COLORIMETRÍA,3450,diagnostico
903810,906621,CALCITONINA,33570,diagnostico
906621,903004,"CÁLCULO BILIAR, ANÁLISIS FÍSICO-QUÍMICO CUANTITATIVO",7645,diagnostico
903004,903005,"CÁLCULO RENAL, ANÁLISIS FÍSICO-QUÍMICO CUANTITATIVO",7645,diagnostico
903005,906802,CAMPO OSCURO PARA CUALQUIER MUESTRA,12540,diagnostico
906802,906015,"Campylobacter jejuni, ANTICUERPOS Ig M",45780,diagnostico
906015,905717,"CANNABINOIDES, SEMICUANTITATIVA POR CROMATOGRAFÍA DE CAPA FINA O INMUNOENSAYO",14425,diagnostico
905717,903812,CAPACIDAD DE COMBINACION DEL HIERRO [TIBC],13205,diagnostico
903812,905718,"CARBAMATOS, CUANTITATIVA POR CROMATOGRAFIA LÍQUIDA EN ORINA",28340,diagnostico
905718,905719,"CARBAMATOS, SEMICUANTITATIVA POR CROMATOGRAFIA DE CAPA DELGADA EN SANGRE",28340,diagnostico
905719,905207,"CARBAMAZEPINA, SEMICUANTITATIVA POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",20505,diagnostico
905207,908202,"CARBOHIDRATOS [MONO Y DISACARIDOS] CUALITATIVO, EN ORINA",15200,diagnostico
908202,908203,"CARBOHIDRATOS POR BENEDICT, SELLIWANOFF O GLUCOSA OXIDASA EN ORINA, CADA UNO",10420,diagnostico
908203,906408,"CARDIOLIPINA, ANTICUERPOS Ig G POR EIA",32225,diagnostico
906408,906409,"CARDIOLIPINA, ANTICUERPOS Ig M ó Ig A POR EIA",32285,diagnostico
906409,903006,CAROTENOS,8290,diagnostico
903006,903007,CATECOLAMINAS FRACCIONADAS O DIFERENCIADAS [ADRENALINA O EPINEFRINA Y NORADRENALINA O NOREPINEFRINA] EN ORINA DE 24 H,45585,diagnostico
903007,903008,CATECOLAMINAS FRACCIONADAS O DIFERENCIADAS [ADRENALINA O EPINEFRINA Y NORADRENALINA O NOREPINEFRINA] EN PLASMA,45585,diagnostico
903008,902101,CÉLULAS L.E.,5575,diagnostico
902101,906411,"CÉLULAS PARIETALES, ANTICUERPOS",21300,diagnostico
906411,906412,"CEMENTO INTERCELULAR, ANTICUERPOS",25835,diagnostico
906412,M19085,"CENTRÓMERO, ANTICUERPOS POR IFI",36230,diagnostico
906413,903416,CERULOPLASMINA POR IDR,12060,diagnostico
903416,903417,CERULOPLASMINA POR NEFELOMETRÍA,32680,diagnostico
903417,904804,CETOESTEROIDES 17,11945,diagnostico
904804,906018,"Chlamydia trachomatis, ANTICUERPOS Ig A",37995,diagnostico
906018,906019,"Chlamydia trachomatis, ANTICUERPOS Ig G",37995,diagnostico
906019,906020,"Chlamydia trachomatis, ANTICUERPOS Ig M",37995,diagnostico
906020,906021,"Chlamydia trachomatis, ANTICUERPOS TOTALES",37995,diagnostico
906021,906307,"Chlamydia trachomatis, ANTÍGENO POR EIA",37995,diagnostico
906307,906308,"Chlamydia trachomatis, ANTÍGENO POR IFD",17810,diagnostico
906308,905721,"CIANUROS, SEMICUANTITATIVO POR COLORIMETRÍA",10965,diagnostico
905721,905502,CICLOSPORINA A Y METABOLITOS,56630,diagnostico
905502,906107,"Cisticerco, ANTICUERPOS Ig G POR EIA",44235,diagnostico
906107,906109,"Cisticerco, ANTICUERPOS TOTALES",18930,diagnostico
906109,906205,"Citomegalovirus, ANTICUERPOS Ig G [CMV-G] POR EIA",17000,diagnostico
906205,906206,"Citomegalovirus, ANTICUERPOS Ig M [CMV-M] POR EIA",17640,diagnostico
906206,906414,"CITOPLASMA DE NEUTRÓFILOS, ANTICUERPOS TOTALES [C-ANCA O P-ANCA] POR EIA",55875,diagnostico
906414,906415,"CITOPLASMA DE NEUTRÓFILOS, ANTICUERPOS TOTALES [C-ANCA O P-ANCA] POR IFI",55875,diagnostico
906415,M19217,CLASIFICACIÓN INMUNOLÓGICA DE LEUCEMIA,171780,diagnostico
1936167,M19218,CLASIFICACIÓN INMUNOLÓGICA DE LINFOMA,236945,diagnostico
1932380,903813,CLORO [CLORURO],2870,diagnostico
903813,903814,CLORO [CLORURO] EN ORINA DE 24 H,2755,diagnostico
903814,905307,CLORPROMAZINA,13030,diagnostico
905307,901204,"Clostridium botulinum, CULTIVO",30720,diagnostico
901204,901401,"Clostridium, TOXINA (113)",22810,diagnostico
901401,905725,"COCAÍNA, METABOLITOS EN ORINA",14425,diagnostico
905725,905726,"COCAÍNA, SEMICUANTITATIVA POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",14425,diagnostico
905726,906111,"Coccidioides, ANTICUERPOS",15290,diagnostico
906111,903815,COLESTEROL DE ALTA DENSIDAD [HDL],5515,diagnostico
903815,903816,COLESTEROL DE BAJA DENSIDAD [LDL] ENZIMÁTICO,5515,diagnostico
903816,903817,COLESTEROL DE BAJA DENSIDAD [LDL] INMUNOLÓGICO DIRECTO,23985,diagnostico
903817,903818,COLESTEROL TOTAL,4415,diagnostico
903818,903418,COLIGLICINA,36580,diagnostico
903418,903419,COLINESTERASA EN ERITROCITOS [VERDADERA O ACETILCOLINESTERASA],11945,diagnostico
903419,M19833,COLINESTERASA SÉRICA [SEUDOCOLINESTERASA],13055,diagnostico
903420,901104,COLORACIÓN AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA,4785,diagnostico
901104,901102,COLORACIÓN ÁCIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA,8355,diagnostico
901102,901103,COLORACIÓN ALBERT [LOEFFLER] Y LECTURA,2865,diagnostico
901103,901107,COLORACIÓN GRAM Y LECTURA PARA CUALQUIER MUESTRA,2980,diagnostico
901107,901101,COLORACIÓN PARA ACIDO ALCOHOL RESISTENTE [ZIELH-NIELSEN] Y LECTURA O BACILOSCOPIA *,5835,diagnostico
901101,901109,COLORACIÓN TINTA CHINA Y LECTURA,11440,diagnostico
901109,M19249,"COLORACIONES INMUNO-CITO E HISTOQUÍMICAS (PEROXIDASA, OTRAS)",30720,diagnostico
1935550,906805,COMPLEJOS INMUNES CIRCULANTES,46465,diagnostico
906805,906806,COMPLEMENTO C1Q INHIBIDOR,32075,diagnostico
906806,906904,COMPLEMENTO HEMOLÍTICO AL 50% CH 50,21300,diagnostico
906904,906905,COMPLEMENTO SERICO C3 CUANTITATIVO POR IDR,15495,diagnostico
906905,906906,COMPLEMENTO SERICO C3 CUANTITATIVO POR NEFELOMETRÍA,26710,diagnostico
906906,906907,COMPLEMENTO SERICO C4 CUANTITATIVO POR IDR,14890,diagnostico
906907,906908,COMPLEMENTO SERICO C4 CUANTITATIVO POR NEFELOMETRÍA,26710,diagnostico
906908,911008,"COOMBS DIRECTO FRACCIONADO [MONOESPECÍFICO Ig A, Ig G E Ig M] EN TUBO",14850,diagnostico
911008,902201,"COOMBS DIRECTO, PRUEBA CUALITATIVA",10165,diagnostico
902201,902202,"COOMBS INDIRECTO, PRUEBA CUALITATIVA",5875,diagnostico
902202,902203,"COOMBS INDIRECTO, PRUEBA CUANTITATIVA",33130,diagnostico
902203,901206,COPROCULTIVO,6360,diagnostico
901206,907002,COPROLÓGICO,2980,diagnostico
907002,907003,COPROLÓGICO POR CONCENTRACIÓN,4635,diagnostico
907003,903421,COPROPORFIRINAS EN ORINA DE 24 H,9255,diagnostico
903421,903422,COPROPORFIRINAS EN ORINA DE 24 H POR CROMATOGRAFÍA,33175,diagnostico
903422,907004,COPROSCÓPICO (118),8355,diagnostico
907004,904805,CORTISOL,21300,diagnostico
904805,904806,CORTISOL [DOS MUESTRAS -AM/PM-],65345,diagnostico
904806,904807,CORTISOL LIBRE EN ORINA DE 24 H,21300,diagnostico
904807,904301,CORTISOL PRE Y POST ESTIMULACIÓN (417),31335,diagnostico
904301,904302,CORTISOL PRE Y POSTSUPRESIÓN CON DEXAMETASONA (417),31335,diagnostico
904302,904303,"CORTISOL Y GLUCOSA, PRE Y POST INSULINA",37535,diagnostico
904303,901207,"Corynebacterium difteriae, CULTIVO",30720,diagnostico
901207,903819,CREATIN QUINASA [FRACCIÓN MB] POR ESPECTOFOTOMETRÍA,10440,diagnostico
903819,903820,CREATIN QUINASA [FRACCIÓN MB] POR MÉTODO INMUNOLÓGICO,30520,diagnostico
903820,903821,CREATIN QUINASA TOTAL CK- CPK,7460,diagnostico
903821,903822,CREATINA,5170,diagnostico
903822,903823,CREATININA DEPURACIÓN,7065,diagnostico
903823,903824,CREATININA EN ORINA DE 24 H,3125,diagnostico
903824,903825,"CREATININA EN SUERO, ORINA U OTROS",3095,diagnostico
903825,E30109,CRIOFRIBRINÓGENO,13780,diagnostico
1925650,906909,CRIOGLOBULINAS,4560,diagnostico
906909,906112,"Cryptococcus neoformans, ANTICUERPOS POR LÁTEX",12260,diagnostico
906112,906314,"Cryptococcus neoformans, ANTÍGENO",29315,diagnostico
906314,M19301,"Cryptococcus neoformans, CULTIVO",13595,diagnostico
901208,903826,CUERPOS CETÓNICOS O CETÓNAS EN ORINA (114),2785,diagnostico
903826,903827,CUERPOS CETÓNICOS O CETÓNAS EN SANGRE (114),2785,diagnostico
903827,902102,"CUERPOS DE HEINZ, PRUEBA DIRECTA",4355,diagnostico
