codigo,descripcion,valor,tipo
S11101,HABITACION UNIPERSONAL,52080,internacion
S11102,HABITACION BIPERSONAL,48910,internacion
S11103,HABITACION TRES CAMAS,39645,internacion
S11104,HABITACION DE CUATRO CAMAS O MAS,36465,internacion
S11201,HABITACION UNIPERSONAL,73920,internacion
S11202,HABITACION BIPERSONAL,67245,internacion
S11203,HABITACION TRES CAMAS,57160,internacion
S11204,HABITACION DE CUATRO CAMAS O MAS,46955,internacion
S11301,HABITACION UNIPERSONAL,102525,internacion
S11302,HABITACION BIPERSONAL,87760,internacion
S11303,HABITACION TRES CAMAS,72990,internacion
S11304,HABITACION DE CUATRO CAMAS O MAS,65690,internacion
S12710,HABITACION UNIPERSONAL,55820,internacion
S12711,HABITACION BIPERSONAL,44730,internacion
S12712,HABITACION TRES CAMAS,36230,internacion
S12713,HABITACION DE CUATRO CAMAS O MAS,33400,internacion
S12720,HABITACION UNIPERSONAL,62440,internacion
S12721,HABITACION BIPERSONAL,56415,internacion
S12722,HABITACION TRES CAMAS,47685,internacion
S12723,HABITACION DE CUATRO CAMAS O MAS,38720,internacion
S12740,HABITACION UNIPERSONAL,62440,internacion
S12741,HABITACION BIPERSONAL,56425,internacion
S12742,HABITACION TRES CAMAS,47685,internacion
S12743,HABITACION DE CUATRO CAMAS O MAS,38720,internacion
S12750,HABITACION UNIPERSONAL,83795,internacion
S12751,HABITACION BIPERSONAL,71410,internacion
S12752,HABITACION TRES CAMAS,59020,internacion
S12753,HABITACION DE CUATRO CAMAS O MAS,52875,internacion
