codigo,descripcion,ref,tipo,uvr,valor
020101,"CORRECION DE CRANEO SINOSTOSIS, POR CRANIECTOMIA SIN AVANCES",01100,quirurgico,380.0,
020102,"CORRECION DE CRANEO SINOSTOSIS, POR CRANIECTOMIA CON AVANCE FRONTAL",020101,quirurgico,380.0,
020104,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, CON AVANCE FRONTAL",020102,quirurgico,380.0,
020106,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA ,CON AVANCE FRONTO-ORBITARIO",020104,quirurgico,620.0,
020107,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA ,CON AVANCE FRONTO NASAL (LEFORT III)",020106,quirurgico,620.0,
020108,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA, CON AVANCE FRONTO MAXILAR (LEFORT II)",020107,quirurgico,620.0,
021212,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE",020108,quirurgico,700.0,
021209,"CORRECION DE MENINGOCELE , POR CRANIECTOMIA",021212,quirurgico,315.0,
021210,"CORRECION DE MENINGOCELE , CON CRANEOPLASTIA",021209,quirurgico,430.0,
021211,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, POR CRANIECTOMIA Y PLASTIA DE MENINGE",021210,quirurgico,395.0,
021213,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, VIA TRANSNASAL ENDOSCOPICA",021211,quirurgico,395.0,
021214,CORRECCION DE MENINGOENCEFALOCELE POR CRANIECTOMIA CON PLASTIA DE MENINGE Y CRANEOPLASTIA,021213,quirurgico,510.0,
035201,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON DUROPLASTIA,021214,quirurgico,420.0,
035202,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2 Y DUROPLASTIA,035201,quirurgico,420.0,
020103,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, POR CRANIECTOMIA MULTIPLE",035202,quirurgico,380.0,
020105,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA, POR CRANEOTOMIA",020103,quirurgico,380.0,
020203,REDUCCION DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMIA Y CRANEOPLASTIA (1),020105,quirurgico,390.0,
020201,ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION (1),020203,quirurgico,220.0,
020202,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO (1),020201,quirurgico,355.0,
020204,"REDUCCION DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO, CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL (DESBRIDAMIENTO) EN UN SOLO TIEMPO (1)",020202,quirurgico,435.0,
012100,INCISION Y DRENAJE DE SENO FRONTAL SOD * (371),020204,quirurgico,375.0,
012401,"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA",012100,quirurgico,375.0,
012410,EXTRACCION DE CUERPO EXTRAÑO INTRACRANEAL POR CRANEOTOMIA,012401,quirurgico,375.0,
012502,"DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA",012410,quirurgico,555.0,
012503,"DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA",012502,quirurgico,555.0,
013103,"DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA",012503,quirurgico,555.0,
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,013103,quirurgico,455.0,
012402,"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA",013110,quirurgico,375.0,
013101,"DRENAJE DE ESPACIO SUBDURAL , POR CRANEOTOMIA",012402,quirurgico,285.0,
013102,"DRENAJE DE ESPACIO SUBDURAL , POR TREPANACION",013101,quirurgico,285.0,
013104,"DRENAJE DE ESPACIO SUBDURAL , POR DRENAJE EXTERNO",013102,quirurgico,285.0,
017001,"DRENAJE DE COLECCIONES INTRACEREBRALES , POR CRANEOTOMIA",013104,quirurgico,525.0,
017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,017001,quirurgico,590.0,
017805,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR,017303,quirurgico,590.0,
017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR POR CRANEOTOMIA SUBOCCIPITAL,017805,quirurgico,690.0,
012501,"SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA (171)",017004,quirurgico,90.0,
385104,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CEREBRAL MEDIA",01121,quirurgico,350.0,
385102,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CAROTIDA INTRACEREBRAL",385104,quirurgico,350.0,
385103,"OCLUSION, PINZAMIENTO O LIGADURA DE CAROTIDA EN SENO CAVERNOSO",385102,quirurgico,350.0,
385111,"OCLUSION, PINZAMIENTO O LIGADURA DE LESION EN ARTERIA VERTEBRAL",385103,quirurgico,350.0,
385101,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL ANTERIOR",385111,quirurgico,685.0,
385105,"OCLUSION, PINZAMIENTO O LIGADURA DE VASOS MENINGEOS Y/O SENOS DURALES",385101,quirurgico,685.0,
385110,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL POSTERIOR",385105,quirurgico,685.0,
383101,RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER I Y II,385110,quirurgico,855.0,
383102,"RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER III, IV Y V",383101,quirurgico,855.0,
383103,RESECCION DE MALFORMACIONES ARTERIO VENOSAS DE LINEA MEDIA E INTRAVENTRICULAR,383102,quirurgico,855.0,
383104,RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER I Y II,383103,quirurgico,880.0,
383105,"RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER III, IV Y V",383104,quirurgico,880.0,
381203,ENDARTERECTOMIA DE CAROTIDA INTERNA PORCION CERVICAL (76),383105,quirurgico,365.0,
381101,ENDARTERECTOMIA DE LA CAROTIDA INTERNA PORCION INTRACRANEAL (76),381203,quirurgico,560.0,
380101,TROMBOEMBOLECTOMIA DE CEREBRAL MEDIA (367),381101,quirurgico,560.0,
380102,TROMBOEMBOLECTOMIA DE COMUNICANTE ANTERIOR (367),380101,quirurgico,560.0,
380103,TROMBOEMBOLECTOMIA DE CAROTIDA INTERNA SUPRACLINOIDEA (367),380102,quirurgico,560.0,
380104,TROMBOEMBOLECTOMIA DE OFTALMICA (367),380103,quirurgico,560.0,
383201,RESECCION DE MALFORMACION ARTERIOVENOSA DE CUERO CABELLUDO (172),380104,quirurgico,165.0,
015101,"RESECCION TUMOR OSEO, POR CRANEOTOMIA",01131,quirurgico,85.0,
015102,"RESECCION TUMOR OSEO, POR CRANIECTOMIA",015101,quirurgico,100.0,
020401,"CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA, CON INJERTO AUTOLOGO O HETEROLOGO",015102,quirurgico,240.0,
016101,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMIA",020401,quirurgico,190.0,
016102,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA",016101,quirurgico,305.0,
016201,"RESECCION TUMOR DE LA HOZ , POR CRANEOTOMIA Y PLASTIA",016102,quirurgico,305.0,
016301,"RESECCION TUMOR DEL TENTORIO, POR CRANEOTOMIA",016201,quirurgico,190.0,
015201,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTERIOR",016301,quirurgico,730.0,
015203,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA ANTEROLATERAL Y RINOTOMIA LATERAL",015201,quirurgico,730.0,
015204,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA TRANSZIGOMATICA Y TRANSPALATAL",015203,quirurgico,730.0,
015302,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR",015204,quirurgico,730.0,
015305,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBFRONTAL EXTENDIDA",015302,quirurgico,730.0,
015306,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA POR VIA SUBTEMPORAL",015305,quirurgico,700.0,
015308,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA SUBFRONTAL",015306,quirurgico,730.0,
015310,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL",015308,quirurgico,820.0,
017202,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA OSTEOPLASTICA",015310,quirurgico,815.0,
017204,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, CON ESTIMULACION CORTICAL",017202,quirurgico,700.0,
017601,"RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA",017204,quirurgico,700.0,
015202,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTEROLATERAL",017601,quirurgico,730.0,
015301,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL",015202,quirurgico,730.0,
015304,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA",015301,quirurgico,730.0,
