ref,codigo,descripcion,uvr,tipo
01100,020101,"CORRECION DE CRANEO SINOSTOSIS, POR CRANIECTOMIA SIN AVANCES",380.0,quirurgico
01101,020102,"CORRECION DE CRANEO SINOSTOSIS, POR CRANIECTOMIA CON AVANCE FRONTAL",380.0,quirurgico
01101,020104,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, CON AVANCE FRONTAL",380.0,quirurgico
01102,020106,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA ,CON AVANCE FRONTO-ORBITARIO",620.0,quirurgico
01102,020107,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA ,CON AVANCE FRONTO NASAL (LEFORT III)",620.0,quirurgico
01102,020108,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA, CON AVANCE FRONTO MAXILAR (LEFORT II)",620.0,quirurgico
01102,021212,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE",700.0,quirurgico
01103,021209,"CORRECION DE MENINGOCELE , POR CRANIECTOMIA",315.0,quirurgico
01103,021210,"CORRECION DE MENINGOCELE , CON CRANEOPLASTIA",430.0,quirurgico
01103,021211,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, POR CRANIECTOMIA Y PLASTIA DE MENINGE",395.0,quirurgico
01103,021213,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, VIA TRANSNASAL ENDOSCOPICA",395.0,quirurgico
01103,021214,CORRECCION DE MENINGOENCEFALOCELE POR CRANIECTOMIA CON PLASTIA DE MENINGE Y CRANEOPLASTIA,510.0,quirurgico
01104,035201,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON DUROPLASTIA,420.0,quirurgico
01104,035202,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2 Y DUROPLASTIA,420.0,quirurgico
01105,020103,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, POR CRANIECTOMIA MULTIPLE",380.0,quirurgico
01105,020105,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA, POR CRANEOTOMIA",380.0,quirurgico
01111,020203,REDUCCION DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMIA Y CRANEOPLASTIA (1),390.0,quirurgico
01110,020201,ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION (1),220.0,quirurgico
01113,020202,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO (1),355.0,quirurgico
01113,020204,"REDUCCION DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO, CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL (DESBRIDAMIENTO) EN UN SOLO TIEMPO (1)",435.0,quirurgico
01114,012401,"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA",375.0,quirurgico
01114,012401,"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA",375.0,quirurgico
01114,012410,EXTRACCION DE CUERPO EXTRAÑO INTRACRANEAL POR CRANEOTOMIA,375.0,quirurgico
01114,012502,"DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA",555.0,quirurgico
01114,012503,"DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA",555.0,quirurgico
01114,013103,"DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA",555.0,quirurgico
01114,013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,455.0,quirurgico
01115,012402,"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA",375.0,quirurgico
01115,013101,"DRENAJE DE ESPACIO SUBDURAL , POR CRANEOTOMIA",285.0,quirurgico
01115,013102,"DRENAJE DE ESPACIO SUBDURAL , POR TREPANACION",285.0,quirurgico
01115,013104,"DRENAJE DE ESPACIO SUBDURAL , POR DRENAJE EXTERNO",285.0,quirurgico
01116,017001,"DRENAJE DE COLECCIONES INTRACEREBRALES , POR CRANEOTOMIA",525.0,quirurgico
01116,017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,590.0,quirurgico
01116,017805,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR,590.0,quirurgico
01117,017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR POR CRANEOTOMIA SUBOCCIPITAL,690.0,quirurgico
01121,385104,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CEREBRAL MEDIA",350.0,quirurgico
