codigo,descripcion,estructura,seccion,tabla,uvb_base,valor_2023_uvt,valor_2024_uvt,valor_2025_uvb
40100,"Atención domiciliaria para pacientes crónicos, terminales y/o con tratamiento definido; Mensual por paciente",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,121.71,1201100.0,1406000.0,1158300.0
40101,Atención integral de hemodiálisis por insuficiencia renal aguda o crónica: Sesión,tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,105.77,1043800.0,1221900.0,3605600.0
40102,Atención ambulatoria integral del oxígeno dependiente: Mensual por paciente,tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,329.25,3249200.0,3803500.0,40900.0
40105,"Atención médica y de salud oral, incluídas las acciones de promoción de la salud, prevención de la enfermedad y protección específica. Por sesion.",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,3.73,36800.0,43100.0,26800.0
40106,"Atención médica, incluídas las acciones de promoción, prevención y protección. Por sesion",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,2.45,24200.0,28300.0,21500.0
40107,"Atención médica sin acciones de promoción, prevención y protección específica. Por sesion.",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,1.96,19300.0,22600.0,14000.0
40108,"Atención de salud oral, incluídas las acciones de promoción, prevención y protección. Por sesion.",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,1.28,12600.0,14800.0,6600.0
40109,"Acciones de promoción de la salud, prevención de la enfermedad y protección Departamentos de : Amazonas, Arauca, Casanare, Caquetá, Chocó, Guajira, Guainía, Guaviare, Meta, Putumayo, San Andrés y Providencia, Sucre, Vaupés, Vichada y Región de Urabá. Se e",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,0.603,5900.0,7000.0,45400.0
40110,"Atención médica y de salud oral, incluídas las acciones de promoción de la salud, prevención de la y protección específica. Por sesion.",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,4.15,40900.0,47900.0,30100.0
40111,"Atención médica, incluídas las acciones de promoción, prevención y protección. Por sesion.",tipo_3_uvb_integrado,"63. CONJUNTOS DE ATENCIÓN INTEGRAL: (Numeral modificado por el artículo 35 del Decreto 2644 de 2022) Señalase para los conjuntos de atención integral, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 63.1.1,2.75,27100.0,31800.0,23100.0
