codigo,descripcion,estructura,seccion,tabla,uvb_base,valor_2023_uvt,valor_2024_uvt,valor_2025_uvb
38111,Habitación unipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.1,24.58,242600.0,283900.0,252700.0
38112,Habitación bipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.1,23.08,227800.0,266600.0,204700.0
38113,Habitación de tres camas,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.1,18.69,184500.0,215900.0,188300.0
38114,Habitación de cuatro ó mas camas,estancia,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.1,17.19,169600.0,188300.0,198600.0
38121,Habitación unipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.2,34.81,343500.0,402100.0,346900.0
38122,Habitación bipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.2,31.68,312600.0,366000.0,294600.0
38123,Habitación de tres camas,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.2,26.9,265500.0,310700.0,242400.0
38124,Habitación de cuatro ó mas camas,estancia,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.2,22.13,218400.0,242400.0,255600.0
38131,Habitación unipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.3,48.61,479700.0,561500.0,455100.0
38132,Habitación bipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.3,41.56,410100.0,480100.0,378400.0
38133,Habitación de tres camas,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.3,34.55,341000.0,399100.0,340800.0
38134,Habitación de cuatro ó mas camas,estancia,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.1.3,31.12,307100.0,340800.0,359500.0
38221,Habitación unipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.2.1,34.81,343500.0,402100.0,346900.0
38222,Habitación bipersonal,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.2.1,31.68,312600.0,366000.0,294600.0
38223,Habitación de tres camas,tipo_3_uvb_integrado,"46. TARIFAS DE ESTANCIA: (Numeral modificado por el artículo 24 del Decreto 2644 de 2022) De acuerdo con la anterior clasificación, se aplicará a la estancia, las siguientes tarifas en Unidades de Valor Tributario - UVT:",TABLA 46.1.2.1,26.9,265500.0,310700.0,242400.0
