codigo,descripcion,estructura,grupo_quirurgico,seccion,tabla,uvb_base,valor_2023_uvt,valor_2024_uvt,valor_2025_uvb
2023,Craneotomía para extracción cuerpo extraño; incluye esquirlectomía,tipo_1_grupo_quirurgico,9,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,2029800.0,2252500.0,2376100.0
2024,Craneotomía para extracción cuerpo extraño; incluye esquirlectomía,tipo_1_grupo_quirurgico,9,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,2029800.0,2252500.0,2376100.0
2025,Craneotomía para extracción cuerpo extraño; incluye esquirlectomía,tipo_1_grupo_quirurgico,9,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,2029800.0,2252500.0,2376100.0
1101,Craneotomía para extracción cuerpo extraño; incluye esquirlectomía,tipo_1_grupo_quirurgico,9,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,2029800.0,2252500.0,2376100.0
1102,Craneotomía para drenaje hematoma epidural o subdural,tipo_1_grupo_quirurgico,20,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,3051500.0,3386300.0,3572200.0
1103,Craneotomía para extracción secuestro,tipo_1_grupo_quirurgico,8,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,1777500.0,1972500.0,2080700.0
1104,Craneotomía para drenaje de hematoma de fosa posterior,tipo_1_grupo_quirurgico,20,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,3051500.0,3386300.0,3572200.0
1106,Craneotomía para ruptura de senos de duramadre,tipo_1_grupo_quirurgico,20,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,3051500.0,3386300.0,3572200.0
1107,Trepanación para monitoreo de presión intracraneana,tipo_1_grupo_quirurgico,12,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,3110500.0,3451700.0,3641200.0
1108,Craneotomía para drenaje hematoma intracerebral,tipo_1_grupo_quirurgico,13,"2. NEUROCIRUGÍA: Establézcase para las intervenciones quirúrgicas en la especialidad de neurocirugía (01), la siguiente nomenclatura y clasificación:",TABLA 2.1.1,,3320000.0,3684200.0,3886300.0
