codigo,descripcion,estructura,grupo_quirurgico,seccion,tabla,uvb_base,valor_2023_uvt,valor_2024_uvt,valor_2025_uvb
2023,Drenaje glándula lagrimal; incluye saco lagrimal,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.1,,534000.0,592500.0,625000.0
2024,Drenaje glándula lagrimal; incluye saco lagrimal,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.1,,534000.0,592500.0,625000.0
2025,Drenaje glándula lagrimal; incluye saco lagrimal,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.1,,534000.0,592500.0,625000.0
2101,Drenaje glándula lagrimal; incluye saco lagrimal,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.1,,534000.0,592500.0,625000.0
2102,Extracción cuerpo extraño glándula lagrimal; Incluye saco lagrimal,tipo_1_grupo_quirurgico,6,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.1,,1252000.0,1389400.0,1465700.0
2110,Dacriocistectomía,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.2,,1617200.0,1794600.0,1893100.0
2111,Resección de glándula lagrimal,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.2,,1617200.0,1794600.0,1893100.0
2112,Resección tumor glándula lagrimal,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.2,,1617200.0,1794600.0,1893100.0
2120,Conjuntivodacriocistorrinostomía,tipo_1_grupo_quirurgico,10,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.3,,2708400.0,3005600.0,3170600.0
2121,Dacriocistorrinostomía 11,tipo_1_grupo_quirurgico,1,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.3,,848200.0,941300.0,231000.0
2130,Plastia de canalículos lagrimales,tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.4,,1777500.0,1972500.0,2080700.0
2140,Remoción cálculos canalículos lagrimales,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.5,,534000.0,592500.0,625000.0
2141,Entropión punto lagrimal,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.5,,534000.0,592500.0,625000.0
2142,Ectropión punto lagrimal,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.5,,534000.0,592500.0,625000.0
2143,Oclusión puntos lagrimales,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.1.5,,534000.0,592500.0,625000.0
2210,Cauterización chalazión,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.1,,534000.0,592500.0,625000.0
2211,Drenaje resección chalazión 5,tipo_1_grupo_quirurgico,5,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.1,,908500.0,1008100.0,1063500.0
2220,Fulguración párpado,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.2,,534000.0,592500.0,625000.0
2221,Resección tumor benigno párpado,tipo_1_grupo_quirurgico,5,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.2,,908500.0,1008100.0,1063500.0
2222,Resección tumor maligno párpado,tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.2,,1777500.0,1972500.0,2080700.0
2223,Tarsectomía,tipo_1_grupo_quirurgico,4,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.2,,717600.0,796300.0,840100.0
2224,Resección tumor maligno párpado con reconstrucción total,tipo_1_grupo_quirurgico,11,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.2,,2909000.0,3228200.0,3405400.0
2230,Blefarorrafia,tipo_1_grupo_quirurgico,4,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.3,,717600.0,796300.0,840100.0
2231,Tarsorrafia,tipo_1_grupo_quirurgico,4,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.3,,717600.0,796300.0,840100.0
2232,Fijación supratarsal para formar pliegue párpado superior,tipo_1_grupo_quirurgico,5,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.3,,908500.0,1008100.0,1063500.0
2240,Corrección ectropión,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1617200.0,1794600.0,1893100.0
2241,Corrección entropión,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1617200.0,1794600.0,1893100.0
2242,Corrección entropión con exceso de laxitud horizontal,tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1777500.0,1972500.0,2080700.0
2243,Corrección entropión recurrencia,tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1777500.0,1972500.0,2080700.0
2244,Entropión por infección con ectropión punto lagrimal,tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1777500.0,1972500.0,2080700.0
2245,Injerto cartílago tarsal,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1617200.0,1794600.0,1893100.0
2246,Injerto párpado (corrección ectropión o entropión),tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1777500.0,1972500.0,2080700.0
2247,Blefaroplastia,tipo_1_grupo_quirurgico,10,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,2708400.0,3005600.0,3170600.0
2248,Tarsoplastia,tipo_1_grupo_quirurgico,7,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.4,,1617200.0,1794600.0,1893100.0
2250,Electrólisis o electrofulguración de pestañas por distriquiasis o triquiasis,tipo_1_grupo_quirurgico,4,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.5,,717600.0,796300.0,840100.0
2260,Cantoplastia,tipo_1_grupo_quirurgico,4,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,717600.0,796300.0,840100.0
2261,Cantorrafia,tipo_1_grupo_quirurgico,4,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,717600.0,796300.0,840100.0
2262,Cantotomía,tipo_1_grupo_quirurgico,3,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,534000.0,592500.0,625000.0
2263,Corrección epicanto,tipo_1_grupo_quirurgico,6,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,1252000.0,1389400.0,1465700.0
2264,Corrección epicanto con cuatro colgajos (Mustarde),tipo_1_grupo_quirurgico,8,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,1777500.0,1972500.0,2080700.0
2265,Corrección telecanto y blefarofimosis por disrrupción orbital,tipo_1_grupo_quirurgico,10,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,2708400.0,3005600.0,3170600.0
2266,"Corrección telecanto, blefarofimosis y epicanto (congénita)",tipo_1_grupo_quirurgico,11,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.6,,2909000.0,3228200.0,3405400.0
2270,Corrección ptosis palpebral (resección externa o interna del músculo elevador),tipo_1_grupo_quirurgico,11,3. OFTALMOLOGÍA: Establézcase para las intervenciones quirúrgicas de Oftalmología la siguiente nomenclatura y clasificación:,TABLA 3.2.7,,2909000.0,3228200.0,3405400.0
