Tabla;Codigo;Nombre;Descripcion;Habilitado;Aplicacion;IsStandardGEL;IsStandardMSPS;Extra_I:Marca;Extra_II:Referencias;Extra_III:RegistroSanitario;Extra_IV:EstadoRegistro;Extra_V:Titular;Extra_VI:Fabricante;Extra_VII:Importador;Extra_VIII:NivelRiesgo;Extra_IX:PresentacionComercial;Extra_X:UnidadUso;ValorRegistro;UsuarioResponsable;Fecha_Actualizacion;IsPublicPrivate
DispositivosMedicosLibertadVigilada;19913478-1;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-10;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;100;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-11;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-12;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-13;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-14;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-15;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;18;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-16;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-17;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;36;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-18;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;48;1 Condon;;;2025-03-25 05:55:09 PM;
